"","id","rid","pub_intox","pet_larc","misc","assault","arson","rape","forgery","consp","mvv","narc","viol_prob","viol_parole","gambling","grand_larc","robbery","burglary","sex_off","crim_poss_weap","crim_poss_instr","obst_gov","res_arrest","escape","crim_poss_stolen","reck_endanger","crim_neg_hom","youth_off","crim_tresspasss"
"1","0001","992","05","00","00","00","00","00","00","00","02","00","00","00","00","01","00","00","00","01","00","00","00","00","00","00","00","00","00"
"2","0002","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"3","0003","992","02","01","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"4","0004","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"5","0005","992","00","00","00","00","00","00","00","00","00","00","00","00","00","02","00","01","00","00","00","00","00","00","00","01","00","00","00"
"6","0006","992","07","01","04","04","00","00","01","00","04","00","00","00","00","00","00","00","00","00","01","00","02","00","00","00","00","00","00"
"7","0007","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"8","0008","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"9","0009","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"10","0010","992","00","00","03","00","00","00","00","00","01","00","00","03","00","00","00","01","00","00","00","00","00","00","00","00","00","00","00"
"11","0011","992","00","01","01","00","00","00","00","00","00","00","00","00","00","00","00","01","00","00","00","00","00","00","00","00","00","00","00"
"12","0012","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"13","0013","992","09","00","00","06","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"14","0014","992","02","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"15","0015","992","02","00","02","00","00","00","00","00","02","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"16","0016","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"17","0017","992","00","00","00","01","00","00","00","00","00","00","00","00","00","00","00","01","00","00","00","00","00","00","00","00","00","00","00"
"18","0018","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","01","00","00","00","00","00","00","00","00","00","00","00"
"19","0019","992","22","01","08","01","00","00","00","00","03","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"20","0020","992","03","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"21","0021","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"22","0022","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"23","0023","992","03","02","09","03","00","00","00","00","04","00","00","00","00","00","00","03","00","01","00","00","00","00","00","00","00","00","00"
"24","0024","992","03","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
"25","0025","992","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00"
